,,,,,,,,,,
Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
1981,MISSISSIPPI,"OYSTER, EASTERN","467,070",212,"472,729",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1981,VIRGINIA,"OYSTER, EASTERN","5,884,600","2,669","7,595,270",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1980,MARYLAND,"OYSTER, EASTERN","14,944,600","6,779","19,832,274",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1980,MISSISSIPPI,"OYSTER, EASTERN","20,786",9,"21,995",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1980,VIRGINIA,"OYSTER, EASTERN","7,846,500","3,559","9,490,846",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1979,MARYLAND,"OYSTER, EASTERN","13,489,000","6,119","17,120,385",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1979,MISSISSIPPI,"OYSTER, EASTERN","272,100",123,"275,471",Confidential,Commercial,Crassostrea virginica,79872,GULFFINHIST
1979,VIRGINIA,"OYSTER, EASTERN","8,196,500","3,718","9,862,703",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1978,MARYLAND,"OYSTER, EASTERN","14,372,900","6,520","15,833,745",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1978,MISSISSIPPI,"OYSTER, EASTERN","682,430",310,"735,059",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1978,VIRGINIA,"OYSTER, EASTERN","8,087,300","3,668","9,031,615",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1977,MARYLAND,"OYSTER, EASTERN","13,028,200","5,910","14,352,138",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1977,MISSISSIPPI,"OYSTER, EASTERN","1,386,000",629,"1,156,208",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1977,VIRGINIA,"OYSTER, EASTERN","4,985,500","2,261","5,580,638",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1976,MARYLAND,"OYSTER, EASTERN","14,880,300","6,750","15,870,395",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1976,MISSISSIPPI,"OYSTER, EASTERN","1,516,300",688,"1,015,165",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1976,VIRGINIA,"OYSTER, EASTERN","6,084,100","2,760","5,877,220",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1975,MARYLAND,"OYSTER, EASTERN","16,402,300","7,440","13,126,669",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1975,MISSISSIPPI,"OYSTER, EASTERN","1,080,700",490,"534,497",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1975,VIRGINIA,"OYSTER, EASTERN","6,237,200","2,829","4,999,122",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1974,MARYLAND,"OYSTER, EASTERN","18,284,100","8,294","12,707,575",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1974,MISSISSIPPI,"OYSTER, EASTERN","276,600",125,"157,304",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1974,VIRGINIA,"OYSTER, EASTERN","6,737,900","3,056","4,844,038",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1973,MARYLAND,"OYSTER, EASTERN","20,422,200","9,263","13,587,262",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
